Número Estação;Nome Estação;Região Administrativa;Situação;Observação;x;y
33;ESTAÇÃO SAMAMBAIA;Samambaia;EM OPERAÇÃO;;169.594,05;8.242.600,88
32;ESTAÇÃO SAMAMBAIA SUL;Samambaia;EM OPERAÇÃO;;171.016,60;8.243.137,55
31;ESTAÇÃO FURNAS;Taguatinga;EM OPERAÇÃO;;172.254,33;8.243.599,60
30;ESTAÇÃO TAGUATINGA SUL;Taguatinga;EM OPERAÇÃO;;174.152,58;8.245.083,81
27;ESTAÇÃO CEILÂNDIA;Ceilândia;EM OPERAÇÃO;;165.587,06;8.250.092,31
26;ESTAÇÃO CEILÂNDIA NORTE;Ceilândia;EM OPERAÇÃO;;166.158,99;8.249.071,44
25;ESTAÇÃO CEILÂNDIA CENTRO;Ceilândia;EM OPERAÇÃO;;166.618,09;8.248.251,95
24;ESTAÇÃO GUARIROBA;Ceilândia;EM OPERAÇÃO;;167.121,36;8.247.353,65
23;ESTAÇÃO CEILÂNDIA SUL;Ceilândia;EM OPERAÇÃO;;167.567,91;8.246.556,57
22;ESTAÇÃO CENTRO METROPOLITANO;Taguatinga;EM OPERAÇÃO;;169.403,38;8.246.834,50
21;ESTAÇÃO ONOYAMA;;EM CONSTRUÇÃO;;170.355,84;8.246.947,22
20;ESTAÇÃO PRAÇA DO RELÓGIO;Taguatinga;EM OPERAÇÃO;;172.589,74;8.247.124,45
19;ESTAÇÃO ESTRADA PARQUE;Águas Claras;EM OPERAÇÃO;;173.780,65;8.247.239,05
18;ESTAÇÃO CONCESSIONÁRIAS;Águas Claras;EM OPERAÇÃO;;174.491,88;8.246.944,78
17;ESTAÇÃO ÁGUAS CLARAS;Águas Claras;EM OPERAÇÃO;ESTAÇÃO DO METRÔ DE BALDEAÇÃO;175.611,21;8.246.418,79
16;ESTAÇÃO ARNIQUEIRAS;Águas Claras;EM OPERAÇÃO;;176.807,48;8.246.800,15
14;ESTAÇÃO GUARÁ;Guará;EM OPERAÇÃO;;180.425,96;8.247.975,07
13;ESTAÇÃO FEIRA;Guará;EM OPERAÇÃO;ACESSO A FEIRA DO GUARÁ;181.297,36;8.248.376,69
11;ESTAÇÃO SHOPPING;Guará;EM OPERAÇÃO;ACESSO AO TERMINAL RODOVIÁRIO INTERESTADUAL DE BRASÍLIA;183.920,54;8.247.378,01
10;ESTAÇÃO ASA SUL;Plano Piloto;EM OPERAÇÃO;TERMINAL ASA SUL - METRÔ/ÔNIBUS;185.856,87;8.246.887,87
9;ESTAÇÃO 114 SUL;Plano Piloto;EM OPERAÇÃO;;187.201,73;8.247.635,92
8;ESTAÇÃO 112 SUL;Plano Piloto;EM OPERAÇÃO;;187.772,77;8.248.074,33
7;ESTAÇÃO 110 SUL;Plano Piloto;EM OPERAÇÃO;;188.343,87;8.248.513,34
6;ESTAÇÃO 108 SUL;Plano Piloto;EM OPERAÇÃO;;188.914,38;8.248.951,62
5;ESTAÇÃO 106 SUL;Plano Piloto;EM OPERAÇÃO;;189.478,22;8.249.399,45
4;ESTAÇÃO 104 SUL;Plano Piloto;EM CONSTRUÇÃO;;189.993,22;8.249.898,85
3;ESTAÇÃO 102 SUL;Plano Piloto;EM OPERAÇÃO;;190.456,05;8.250.443,76
2;ESTAÇÃO GALERIA;Plano Piloto;EM OPERAÇÃO;ACESSO SETOR COMERCIAL SUL/HOSPITAL DE BASE;190.796,89;8.251.126,35
1;ESTAÇÃO CENTRAL;Plano Piloto;EM OPERAÇÃO;ACESSO AO TERMINAL RODOVIÁRIO DO PLANO PILOTO;190.946,49;8.251.834,26
